gene_id	transcript_id.s.	length	effective_length	expected_count	TPM	FPKM
ABCA9	uc002jhu.3,uc002jhv.3,uc010dez.3	4624.67	4442.08	0	0	0
ABCB1	uc003uiz.2,uc003uja.2,uc010lei.2,uc011khc.2	4037	3854.42	4	0.03	0.03
ABCB10	uc001htp.4	3857	3674.42	620	4.2	5.44
ABCB11	uc002ueo.1,uc010zda.1,uc010zdb.1	4775	4592.42	88	0.48	0.62
ABCB4	uc003uiv.1,uc003uiw.1,uc003uix.1,uc003uiy.3	3217.75	3035.17	0	0	0
ABCB5	uc003suv.4,uc003suw.4,uc003sux.1,uc010kuh.3,uc011jyi.1	3068.6	2886.02	0	0	0
ABCB6	uc002vkc.2,uc010fwe.2,uc010zku.1	4448.63	4266.04	342.26	2	2.58
ABCB7	uc004ebz.4,uc004eca.4,uc010nls.4,uc010nlt.4,uc011mqn.3	2522.12	2339.54	1639	17.44	22.57
ABCB8	uc003wii.2,uc003wik.4,uc003wil.4,uc003wim.4,uc010lpw.1,uc010lpx.3,uc011kvd.2	2684.16	2501.58	99.99	1	1.29
ABCB9	uc001udm.4,uc001udo.4,uc001udq.3,uc001udr.3,uc010tai.2,uc010taj.2,uc021rfo.1,uc021rfp.1,uc021rfq.1	2388.94	2206.36	78	0.88	1.14
ABCC1	uc002del.4,uc010bvi.3,uc010bvn.3,uc021tdq.1,uc021tdr.1,uc021tds.1,uc021tdt.1	5509.07	5326.48	431	2.01	2.61
ABCC10	uc003ouy.1,uc003ouz.1,uc010jyo.1	4957.96	4775.38	102	0.53	0.69
ABCC11	uc002eff.1,uc002efg.1,uc002efh.1,uc010cbg.1,uc010vgk.1,uc010vgl.1	1056	873.42	1	0.03	0.04
ABCC12	uc002eey.1,uc002eez.1,uc002efa.1,uc002efb.1,uc002efc.1,uc002efd.1,uc002efe.1,uc010vgj.1	4157.75	3975.17	0	0	0
ABCC13	uc002yjq.3,uc002yjr.3,uc002yjs.3,uc010gkx.3	2440.25	2257.67	0	0	0
ABCC2	uc001kqf.2	5051	4868.42	24	0.12	0.16
ABCC3	uc002isk.4,uc002isl.3,uc002isn.3	4351.57	4168.98	4650.99	27.77	35.94
ABCC4	uc001vmd.4,uc001vme.2,uc001vmf.2,uc010afj.3,uc010afk.3,uc010afl.1,uc010afm.1,uc010tih.1	4421.5	4238.92	789.99	4.64	6
ABCC5	uc003fmg.3,uc003fmh.3,uc003fmi.3,uc010hxl.3,uc010hxm.3,uc010hxn.3,uc010hxo.3,uc011bqt.2	3109.22	2926.64	256.01	2.18	2.82
ABCC5-AS1	uc031scp.1	469	286.56	0	0	0
ABCC6	uc002den.4,uc002deo.4,uc010bvo.3,uc010uzz.1	2668.19	2485.6	340.05	3.41	4.41
ABCC6P1	uc002dfg.3,uc010vam.2	2772.22	2589.64	133.33	1.28	1.66
ABCC6P2	uc002dcu.2	706	523.42	26.62	1.27	1.64
ABCC8	uc001mnc.3,uc010rcy.1,uc021qej.1	3921.5	3738.91	12	0.08	0.1
ABCC9	uc001rfh.3,uc001rfi.1,uc001rfk.3,uc001rfl.1	5418.71	5236.13	7	0.03	0.04
ABCD1	uc004fif.2	3664	3481.42	400	2.86	3.7
ABCD2	uc001rmb.2	5341	5158.42	0	0	0
ABCD3	uc001dqm.4,uc001dqn.4,uc001dqo.4,uc009wdr.3,uc010oto.2,uc010otp.2	2944.14	2761.56	6800	61.3	79.34
ABCD4	uc001xpr.2,uc001xps.2,uc001xpu.2,uc001xpv.2,uc010tur.2	2197.82	2015.24	466	5.76	7.45
ABCE1	uc003ijx.3,uc003ijy.3,uc010iot.3	4193.8	4011.22	2900	18	23.29
ABCF1	uc003nqk.2,uc003nql.3,uc003nqm.3	2343.88	2161.3	397	4.57	5.92
ABCF2	uc003wjo.1,uc003wjp.3,uc031szt.1	2289.49	2106.91	1597	18.87	24.42
ABCF3	uc003fmz.2,uc003fna.2,uc003fnb.2	2462.92	2280.34	440	4.8	6.22
ABCG1	uc002zam.3,uc002zan.3,uc002zao.3,uc002zap.3,uc002zaq.3,uc002zar.3,uc010gpb.2,uc011aev.2	2961.72	2779.14	269	2.41	3.12
ABCG2	uc003hrf.3,uc003hrg.3,uc003hrh.3,uc003hri.1,uc003hrj.1,uc003hrk.1	3669	3486.42	2	0.01	0.02
ABCG4	uc001pvs.3,uc001pvt.1,uc009zar.3	2524	2361.47	0	0	0
ABCG5	uc002rtm.3,uc002rtn.3,uc002rto.3,uc002rtp.3	1966	1783.42	4	0.06	0.07
ABCG8	uc002rtq.3,uc010yoa.2	2663.5	2480.92	0	0	0
ABHD1	uc002rit.3,uc002riu.3,uc002riv.3	1360.33	1177.75	0	0	0
ABHD10	uc003dyk.5,uc011bhq.3,uc031saw.1,uc031sax.1	2753.42	2570.84	2055.01	19.9	25.75
ABHD11	uc003tza.3,uc003tzb.3,uc003tzc.3,uc003tzf.3,uc011kfb.2	1440.07	1257.49	2860	56.62	73.28
ABHD12	uc002wuq.3,uc002wus.2	1818.97	1636.39	3180	48.38	62.61
ABHD12B	uc001wyq.3,uc001wyr.3,uc001wys.3,uc010any.3	1542.25	1359.67	0	0	0
ABHD13	uc001vqq.3,uc021rml.1	1021.25	838.67	231	6.86	8.87
ABHD14A	uc003dco.3,uc010hlz.2	1108	925.42	80.72	2.17	2.81
ABHD14A-ACY1	uc011bea.2	1879	1696.42	182.84	2.68	3.47
ABHD14B	uc003dcm.3,uc003dcn.3,uc011bdy.2,uc011bdz.1,uc021wza.1	2052.28	1869.7	78	1.04	1.34
ABHD15	uc002hed.2	3355	3172.42	65	0.51	0.66
ABHD16A	uc003nvx.2,uc003nvy.2,uc010jtc.2,uc011dny.2,uc011dnz.2,uc011doa.2	1968.51	1785.93	642	8.95	11.58
ABHD16B	uc002ygx.1	1776	1593.42	0	0	0
ABHD17A	uc002lud.3,uc002lue.3,uc002luf.3,uc002lug.3	1563.49	1380.91	868	15.65	20.25
ABHD17B	uc004ail.3,uc004aim.1	1769.89	1587.3	181	2.84	3.67
ABHD17C	uc002bft.3,uc002bfu.3	2360	2177.42	733	8.38	10.85
ABHD2	uc002bnj.2,uc002bnk.2,uc010ups.1	3302.99	3120.41	852	6.8	8.8
ABHD3	uc002ktk.2,uc002ktl.2,uc002ktn.2,uc010xao.1	2018.55	1835.96	538	7.3	9.44
ABHD4	uc001wgm.3,uc010tmz.1,uc010tna.1,uc010tnb.2	1516.01	1333.43	171	3.19	4.13
ABHD5	uc003cmx.3	5353	5170.42	1060	5.1	6.61
ABHD6	uc003djs.4,uc003djt.4	2393	2210.42	128	1.44	1.87
ABHD8	uc002ngb.4	2090	1907.42	46	0.6	0.78
ABI1	uc001isx.3,uc001isy.3,uc001isz.3,uc001ita.3,uc001itb.3,uc001itc.3,uc001itd.3,uc001ite.3,uc010qdg.2,uc010qdh.2,uc010qdi.2,uc010qdj.2,uc010qdk.2	3488.08	3305.5	4187.99	31.54	40.82
ABI2	uc002uzz.3,uc002vaa.3,uc002vab.3,uc002vac.3,uc010zig.1,uc010zih.2,uc010zii.2,uc010zij.2,uc010zik.2,uc010zil.2,uc010zim.2,uc010zin.2	5429.31	5246.73	457	2.17	2.81
ABI3	uc002iop.1,uc002ioq.1	2100	1917.42	0	0	0
ABI3BP	uc003duj.3,uc003duk.3,uc003dul.3,uc003dum.3,uc003dun.3,uc003duo.2,uc003dup.4,uc011bhd.2	4227.18	4044.6	84	0.52	0.67
ABL1	uc004bzv.3,uc004bzw.3	5447.29	5264.7	202	0.96	1.24
ABL2	uc001gmg.4,uc001gmi.4,uc001gmj.4,uc001gmk.3,uc009wxe.3,uc009wxf.2,uc010pne.2,uc010pnf.2,uc010png.2,uc010pnh.2	2835.47	2652.89	256	2.4	3.11
ABLIM1	uc001lbz.1,uc021pyu.1,uc021pyv.1,uc021pyw.1,uc021pyx.1,uc021pyy.1,uc021pyz.1,uc021pza.1,uc021pzb.1,uc021pzc.1,uc021pzd.1,uc021pze.1,uc021pzf.1	1623.52	1440.94	1624.01	28.06	36.31
ABLIM2	uc003gki.3,uc003gkj.4,uc003gkk.3,uc003gkl.3,uc003gkm.4,uc003gko.3,uc003gkp.3,uc003gkq.3,uc003gkr.3,uc003gks.3,uc011bwl.1	1386.38	1203.8	64	1.32	1.71
ABLIM3	uc003lpy.2,uc003lpz.1,uc003lqa.1,uc003lqb.3,uc003lqc.1,uc003lqd.1,uc003lqe.1,uc003lqf.3	2976.07	2793.49	751.01	6.69	8.66
ABO	uc004cda.1,uc010naf.1,uc010nag.1,uc011mcz.1	1482.69	1300.11	85	1.63	2.11
ABP1	uc003why.1,uc003whz.2,uc003wia.2	2436	2253.42	350	3.87	5
ABR	uc002fsd.4,uc002fse.4,uc002fsf.4,uc002fsg.4,uc002fsh.1,uc010cjq.1,uc010vqf.3,uc010vqg.3	4919.19	4736.61	1280.99	6.73	8.71
ABRA	uc003ymm.4	2754	2571.42	0	0	0
ABRACL	uc003qil.2,uc003qim.2	844.83	662.25	737	27.7	35.86
ABT1	uc003nii.3	2263	2080.42	438	5.24	6.78
ABTB1	uc003ejr.3,uc003ejs.3,uc003ejt.3,uc003eju.3,uc010hsm.3	1976.61	1794.03	478	6.63	8.58
ABTB2	uc001mvl.2	4903	4720.42	314	1.66	2.14
AC2	uc001ezm.1	4109	3926.42	95	0.6	0.78
ACAA1	uc003cht.3,uc003chu.3	1809.74	1627.16	2471	37.81	48.93
ACAA2	uc002ldw.4	1934	1751.42	5591	79.47	102.85
ACACA	uc002hnk.3,uc002hnl.3,uc002hnm.3,uc002hnn.3,uc002hno.3,uc002hnp.1,uc002hnq.2,uc002hnr.1,uc010cuy.3,uc010cuz.3,uc010wdb.2,uc010wdc.2	5350.96	5168.38	3694	17.79	23.03
ACACB	uc001tob.3,uc001toc.3,uc001tod.3,uc010sxl.1,uc010sxm.2	5971.71	5789.12	145	0.62	0.81
ACAD10	uc001tso.4,uc001tsp.3,uc001tsq.3,uc001tsr.3,uc001tss.1,uc009zvw.2,uc009zvx.3	2772.15	2589.57	701	6.74	8.72
ACAD11	uc003eov.4	3556	3373.42	547.31	4.04	5.23
ACAD8	uc001qhk.3,uc001qhl.3,uc009zdc.3,uc009zde.1,uc010sco.1,uc010scp.1,uc010scq.2,uc010scr.1	1747.91	1565.33	1033.99	16.44	21.28
ACAD9	uc003ela.4,uc003elb.3,uc003elc.1,uc003ele.3,uc010hsw.1,uc011bks.2	2594.41	2411.83	1734.99	17.91	23.18
ACADL	uc002vdz.4,uc010zjg.1	1789.5	1606.92	0	0	0
ACADM	uc001dgw.4,uc009wbp.3,uc009wbr.3,uc009wbs.1,uc010orc.1,uc010ord.2,uc010ore.2,uc010orf.2,uc010org.2	2237.6	2055.02	1551.99	18.8	24.33
ACADS	uc001tza.4,uc010szl.1	1588.72	1406.14	1154	20.43	26.44
ACADSB	uc001lhb.3,uc010qub.2	5941	5758.42	908	3.93	5.08
