"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEPT2","SEPT2",9273.19175915583,0.61764759655481,0.450755581554674,1.3702494696228,0.170609040665347,0.346485396306241
"SEPT3","SEPT3",82.7596703666806,4.0671601211718,1.10454819600385,3.68219343971262,0.000231235845359641,0.00363545794633656
"SEPT5-GP1BB","SEPT5-GP1BB",28.6256887708184,-1.57601552783537,1.78096175411437,-0.884923847575313,0.376197705009976,0.568618664069175
"SEPT6","SEPT6",80.5187080637128,-1.46525840657106,0.886526342119667,-1.65280864984525,0.0983698131221808,0.244077602958266
"SEPT7","SEPT7",6806.29759066023,-0.239669727696674,0.461229913971348,-0.51963179411551,0.603320233645976,0.754999531424059
"SEPT7P2","SEPT7P2",101.723943472274,0.763597461621471,0.574418639094576,1.32933963080496,0.183735944927612,0.363090741767903
"SEPT8","SEPT8",544.447114702077,-0.8457896627211,0.631665850559399,-1.33898272634507,0.180576296338571,0.358882044800054
"SEPT9","SEPT9",9367.11845325686,-2.65639438021547,0.72119856328855,-3.68330514706343,0.0002302292835429,0.00362753314746595
"SEPW1","SEPW1",17737.9027651797,4.69191331795322,0.738688259171515,6.35168253955395,2.12972492675249e-10,3.41918807683909e-08
"SERAC1","SERAC1",477.477423700253,0.76618623726759,0.65050326955488,1.17783610494667,0.238861951788612,0.427196533868221
"SERBP1","SERBP1",1963.90594826875,-1.70830792398418,0.558484236724095,-3.05882925900401,0.00222203751835966,0.0186898327734048
"SERF1A","SERF1A",1955.75356258489,1.01950658394696,0.811056467896254,1.25701060814099,0.208749794327396,0.392350506656264
"SERF2","SERF2",3180.29780428634,1.4072779967734,0.660681157415638,2.13004106591778,0.0331682231518797,0.121181734848051
"SERF2-C15ORF63","SERF2-C15ORF63",1604.33508802737,0.57238392079556,0.625511793453978,0.915064954467039,0.360157531642216,0.553499301378697
"SERGEF","SERGEF",319.166915697918,0.374546392110149,0.789031016745822,0.474691595337887,0.635006809353604,0.7762426086222
"SERHL","SERHL",79.3179096116892,2.1861311604224,1.41643837746083,1.5434001190658,0.122733724821891,0.281298653870137
"SERHL2","SERHL2",39.4662592101414,-3.48438426166586,2.16670609095067,-1.60814808995946,0.107802748987897,0.258557743909034
"SERINC1","SERINC1",2297.81716342421,0.106362065659744,0.440028159492958,0.241716497831195,0.808999845156013,0.892894371264743
"SERINC2","SERINC2",1919.18459148385,-0.801127370878499,0.59550288191221,-1.34529553963872,0.178529813408558,0.35640362450873
"SERINC3","SERINC3",4439.99884965036,0.257894131095869,0.421654431286483,0.611624382338459,0.540786302418246,0.708863560397699
"SERINC4","SERINC4",2.87622873093639,1.24751412573907,3.37142860377419,0.370025372728501,0.711363585352927,0.829622549971545
